unit	coeff
m3(STP)m-1	10000.0
m3 STPm-1	10000.0
m3 (STP) m-1	10000.0
m3@STPm-1	10000.0
m3 @STPm-1	10000.0
m3 @STP m-1	10000.0
m3gas(STP)⋅m-1	10000.0
m3/cm	1000000.0
m3 /cm	1000000.0
m3·/cm	1000000.0
m3(STP)/cm	1000000.0
m3 STP/cm	1000000.0
m3 (STP) /cm	1000000.0
m3@STP/cm	1000000.0
m3 @STP/cm	1000000.0
m3 @STP /cm	1000000.0
m3gas(STP)⋅/cm	1000000.0
m3cm-1	1000000.0
m3 cm-1	1000000.0
m3·cm-1	1000000.0
m3(STP)cm-1	1000000.0
m3 STPcm-1	1000000.0
m3 (STP) cm-1	1000000.0
m3@STPcm-1	1000000.0
m3 @STPcm-1	1000000.0
m3 @STP cm-1	1000000.0
m3gas(STP)⋅cm-1	1000000.0
m3mil	2540.0
m3 mil	2540.0
m3·mil	2540.0
m3(STP)mil	2540.0
m3 STPmil	2540.0
m3 (STP) mil	2540.0
m3@STPmil	2540.0
m3 @STPmil	2540.0
m3 @STP mil	2540.0
m3gas(STP)⋅mil	2540.0
ml	1.0
ml(STP)	1.0
ml STP	1.0
ml (STP)	1.0
ml@STP	1.0
ml @STP	1.0
mlgas(STP)⋅	1.0
mlm	100.0
ml m	100.0
ml·m	100.0
ml(STP)m	100.0
ml STPm	100.0
ml (STP) m	100.0
ml@STPm	100.0
ml @STPm	100.0
ml @STP m	100.0
mlgas(STP)⋅m	100.0
mlcm	1.0
ml cm	1.0
ml·cm	1.0
ml(STP)cm	1.0
ml STPcm	1.0
ml (STP) cm	1.0
ml@STPcm	1.0
ml @STPcm	1.0
ml @STP cm	1.0
mlgas(STP)⋅cm	1.0
mlmm	0.1
ml mm	0.1
ml·mm	0.1
ml(STP)mm	0.1
ml STPmm	0.1
ml (STP) mm	0.1
ml@STPmm	0.1
ml @STPmm	0.1
ml @STP mm	0.1
mlgas(STP)⋅mm	0.1
mlµm	0.0001
ml µm	0.0001
ml·µm	0.0001
ml(STP)µm	0.0001
ml STPµm	0.0001
ml (STP) µm	0.0001
ml@STPµm	0.0001
ml @STPµm	0.0001
ml @STP µm	0.0001
mlgas(STP)⋅µm	0.0001
ml/m	0.01
ml /m	0.01
ml·/m	0.01
ml(STP)/m	0.01
ml STP/m	0.01
ml (STP) /m	0.01
ml@STP/m	0.01
ml @STP/m	0.01
ml @STP /m	0.01
mlgas(STP)⋅/m	0.01
mlm-1	0.01
ml m-1	0.01
ml·m-1	0.01
ml(STP)m-1	0.01
ml STPm-1	0.01
ml (STP) m-1	0.01
ml@STPm-1	0.01
ml @STPm-1	0.01
ml @STP m-1	0.01
mlgas(STP)⋅m-1	0.01
ml/cm	1.0
ml /cm	1.0
ml·/cm	1.0
ml(STP)/cm	1.0
ml STP/cm	1.0
ml (STP) /cm	1.0
ml@STP/cm	1.0
ml @STP/cm	1.0
ml @STP /cm	1.0
mlgas(STP)⋅/cm	1.0
mlcm-1	1.0
ml cm-1	1.0
ml·cm-1	1.0
ml(STP)cm-1	1.0
ml STPcm-1	1.0
ml (STP) cm-1	1.0
ml@STPcm-1	1.0
ml @STPcm-1	1.0
ml @STP cm-1	1.0
mlgas(STP)⋅cm-1	1.0
mlmil	0.00254
ml mil	0.00254
ml·mil	0.00254
ml(STP)mil	0.00254
ml STPmil	0.00254
ml (STP) mil	0.00254
ml@STPmil	0.00254
ml @STPmil	0.00254
ml @STP mil	0.00254
mlgas(STP)⋅mil	0.00254
cc	1.0
cc(STP)	1.0
cc STP	1.0
cc (STP)	1.0
cc@STP	1.0
cc @STP	1.0
ccgas(STP)⋅	1.0
ccm	100.0
cc m	100.0
cc·m	100.0
cc(STP)m	100.0
cc STPm	100.0
cc (STP) m	100.0
cc@STPm	100.0
cc @STPm	100.0
cc @STP m	100.0
ccgas(STP)⋅m	100.0
cccm	1.0
cc cm	1.0
cc·cm	1.0
cc(STP)cm	1.0
cc STPcm	1.0
cc (STP) cm	1.0
cc@STPcm	1.0
cc @STPcm	1.0
cc @STP cm	1.0
ccgas(STP)⋅cm	1.0
ccmm	0.1
cc mm	0.1
cc·mm	0.1
cc(STP)mm	0.1
cc STPmm	0.1
cc (STP) mm	0.1
cc@STPmm	0.1
cc @STPmm	0.1
cc @STP mm	0.1
ccgas(STP)⋅mm	0.1
ccµm	0.0001
cc µm	0.0001
cc·µm	0.0001
cc(STP)µm	0.0001
cc STPµm	0.0001
cc (STP) µm	0.0001
cc@STPµm	0.0001
cc @STPµm	0.0001
cc @STP µm	0.0001
ccgas(STP)⋅µm	0.0001
cc/m	0.01
cc /m	0.01
cc·/m	0.01
cc(STP)/m	0.01
cc STP/m	0.01
cc (STP) /m	0.01
cc@STP/m	0.01
cc @STP/m	0.01
cc @STP /m	0.01
ccgas(STP)⋅/m	0.01
ccm-1	0.01
cc m-1	0.01
cc·m-1	0.01
cc(STP)m-1	0.01
cc STPm-1	0.01
cc (STP) m-1	0.01
cc@STPm-1	0.01
cc @STPm-1	0.01
cc @STP m-1	0.01
ccgas(STP)⋅m-1	0.01
cc/cm	1.0
cc /cm	1.0
cc·/cm	1.0
cc(STP)/cm	1.0
cc STP/cm	1.0
cc (STP) /cm	1.0
cc@STP/cm	1.0
cc @STP/cm	1.0
cc @STP /cm	1.0
ccgas(STP)⋅/cm	1.0
cccm-1	1.0
cc cm-1	1.0
cc·cm-1	1.0
cc(STP)cm-1	1.0
cc STPcm-1	1.0
cc (STP) cm-1	1.0
cc@STPcm-1	1.0
cc @STPcm-1	1.0
cc @STP cm-1	1.0
ccgas(STP)⋅cm-1	1.0
ccmil	0.00254
cc mil	0.00254
cc·mil	0.00254
cc(STP)mil	0.00254
cc STPmil	0.00254
cc (STP) mil	0.00254
cc@STPmil	0.00254
cc @STPmil	0.00254
cc @STP mil	0.00254
ccgas(STP)⋅mil	0.00254
cm3	1.0
cm3(STP)	1.0
cm3 STP	1.0
cm3 (STP)	1.0
cm3@STP	1.0
cm3 @STP	1.0
cm3gas(STP)⋅	1.0
cm3m	100.0
cm3 m	100.0
cm3·m	100.0
cm3(STP)m	100.0
cm3 STPm	100.0
cm3 (STP) m	100.0
cm3@STPm	100.0
cm3 @STPm	100.0
cm3 @STP m	100.0
cm3gas(STP)⋅m	100.0
cm3cm	1.0
cm3 cm	1.0
cm3·cm	1.0
cm3(STP)cm	1.0
cm3 STPcm	1.0
cm3 (STP) cm	1.0
cm3@STPcm	1.0
cm3 @STPcm	1.0
cm3 @STP cm	1.0
cm3gas(STP)⋅cm	1.0
cm3mm	0.1
cm3 mm	0.1
cm3·mm	0.1
cm3(STP)mm	0.1
cm3 STPmm	0.1
cm3 (STP) mm	0.1
cm3@STPmm	0.1
cm3 @STPmm	0.1
cm3 @STP mm	0.1
cm3gas(STP)⋅mm	0.1
cm3µm	0.0001
cm3 µm	0.0001
cm3·µm	0.0001
cm3(STP)µm	0.0001
cm3 STPµm	0.0001
cm3 (STP) µm	0.0001
cm3@STPµm	0.0001
cm3 @STPµm	0.0001
cm3 @STP µm	0.0001
cm3gas(STP)⋅µm	0.0001
cm3/m	0.01
cm3 /m	0.01
cm3·/m	0.01
cm3(STP)/m	0.01
cm3 STP/m	0.01
cm3 (STP) /m	0.01
cm3@STP/m	0.01
cm3 @STP/m	0.01
cm3 @STP /m	0.01
cm3gas(STP)⋅/m	0.01
cm3m-1	0.01
cm3 m-1	0.01
cm3·m-1	0.01
cm3(STP)m-1	0.01
